adverse_event,report_count
FAECES DISCOLOURED,1221
RESPIRATORY SYNCYTIAL VIRUS INFECTION,1215
FULL BLOOD COUNT ABNORMAL,1215
INTERMENSTRUAL BLEEDING,1213
PHARYNGEAL SWELLING,1212
HEPATIC STEATOSIS,1209
MUSCULOSKELETAL DISCOMFORT,1209
FOOT FRACTURE,1206
GOUT,1203
MYASTHENIA GRAVIS,1202
INTENTIONAL SELF-INJURY,1200
ABSCESS,1199
OSTEONECROSIS,1199
LIQUID PRODUCT PHYSICAL ISSUE,1193
MUSCLE TWITCHING,1193
TOOTHACHE,1190
INJECTION SITE DISCOMFORT,1185
PULMONARY MASS,1185
BLOOD IRON DECREASED,1178
PRODUCT TEMPERATURE EXCURSION ISSUE,1177
JAUNDICE,1175
REPRODUCTIVE COMPLICATION ASSOCIATED WITH DEVICE,1172
BLOOD SODIUM DECREASED,1171
THERAPY CHANGE,1170
HAEMATOMA,1166
ORAL CANDIDIASIS,1156
STEVENS-JOHNSON SYNDROME,1153
FRACTURE,1153
SKIN LACERATION,1153
RHEUMATIC FEVER,1149
GRIP STRENGTH DECREASED,1149
INTERVERTEBRAL DISC PROTRUSION,1148
POST PROCEDURAL COMPLICATION,1147
ORAL PAIN,1145
FOOD ALLERGY,1143
POISONING DELIBERATE,1142
THIRST,1136
BLOOD TEST ABNORMAL,1134
PNEUMOTHORAX,1124
DERMATITIS ALLERGIC,1123
SKIN SWELLING,1123
CHROMATURIA,1117
HYPOMAGNESAEMIA,1117
APHONIA,1117
HYPERCHOLESTEROLAEMIA,1113
BASAL CELL CARCINOMA,1111
DELUSION,1109
TOOTH DISORDER,1106
HAEMARTHROSIS,1105
DRUG DIVERSION,1100
DECREASED IMMUNE RESPONSIVENESS,1098
PULMONARY HYPERTENSION,1097
GASTROENTERITIS,1095
TOXIC EPIDERMAL NECROLYSIS,1093
BLOOD ALKALINE PHOSPHATASE INCREASED,1092
OROPHARYNGEAL DISCOMFORT,1087
WEIGHT FLUCTUATION,1086
TOOTH LOSS,1084
BODY TEMPERATURE INCREASED,1082
RASH PAPULAR,1078
BLOOD GLUCOSE ABNORMAL,1076
MUSCLE ATROPHY,1074
DIABETES MELLITUS INADEQUATE CONTROL,1073
HAEMATOTOXICITY,1067
THYROID DISORDER,1067
PERITONITIS,1062
SEXUAL DYSFUNCTION,1062
DEFAECATION URGENCY,1061
LYMPHOCYTE COUNT DECREASED,1058
LIVE BIRTH,1057
INFUSION SITE SWELLING,1055
DERMATITIS CONTACT,1054
PRODUCT DELIVERY MECHANISM ISSUE,1053
ACUTE RESPIRATORY DISTRESS SYNDROME,1046
UPPER LIMB FRACTURE,1045
ANAL INCONTINENCE,1045
HYPERTHYROIDISM,1044
SKIN REACTION,1043
BACK INJURY,1043
VENTRICULAR TACHYCARDIA,1042
MELAENA,1041
EMBEDDED DEVICE,1038
KNEE OPERATION,1036
